tienda,tipo,modelo,medida,medida_origen,almohadas,cuotas_si,cuotas_simple,precio,pack,sku_match,titulo_orig,url,fecha
TMS,sommier,Exclusive,100x190,explicita,0,,0,463000,1,SEX100,Conjunto Sommier Chocolate+colchon Cannon Exclusive 100x190,https://www.mercadolibre.com.ar/conjunto-sommier-chocolatecolchon-cannon-exclusive-100x190/up/MLAU560389941?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=43&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA1444414921&sid=search,2026-04-27 09:31
TMS,sommier,Sublime Europillow,140x190,explicita,2,,0,1043006,1,SSUP140,Conjunto Sommier Cannon Sublime Pillow 140x190+2 Alm Vellone,https://www.mercadolibre.com.ar/conjunto-sommier-cannon-sublime-pillow-140x1902-alm-vellone/up/MLAU2990130298?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=44&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA2005093228&sid=search,2026-04-27 09:31
TMS,sommier,Princess,80x190,explicita,0,,0,329000,1,SPR8020,Sommier 1 Plaza 80x190 Alta Densidad 24kg Cannon Princess,https://www.mercadolibre.com.ar/sommier-1-plaza-80x190-alta-densidad-24kg-cannon-princess/up/MLAU388594011?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=45&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA1816387060&sid=search,2026-04-27 09:31
TMS,sommier,Renovation Europillow,90x190,explicita,0,18,0,858336,1,SREP90,Conjunto Sommier Cannon Renovation Europillow 90x190cm,https://www.mercadolibre.com.ar/conjunto-sommier-cannon-renovation-europillow-90x190cm/up/MLAU3546359718?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=46&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA2545406320&sid=search,2026-04-27 09:31
TMS,sommier,Exclusive,160x200,explicita,0,,0,873000,1,SEX160,Juego De Sommier Cannon Espuma Exclusive 160x200 Queen,https://www.mercadolibre.com.ar/juego-de-sommier-cannon-espuma-exclusive-160x200-queen/up/MLAU398093464?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=47&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA1435672823&sid=search,2026-04-27 09:31
TMS,sommier,Renovation Europillow,200x200,explicita,0,,0,1411000,1,SREP200,Conjunto Sommier+cannon Renovation Pillow Top 200x200cm,https://www.mercadolibre.com.ar/conjunto-sommiercannon-renovation-pillow-top-200x200cm/up/MLAU581505589?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=48&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA1888239914&sid=search,2026-04-27 09:31
TMS,sommier,Doral,100x190,explicita,0,,0,519000,1,SDO100,Conjunto Sommier+colchón Cannon Doral 100x190cm,https://www.mercadolibre.com.ar/conjunto-sommiercolchon-cannon-doral--100x190cm/up/MLAU579088873?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=1&type=product&tracking_id=4098c91b-b84c-4f3b-9f05-49e4c5095ecd&wid=MLA1888219938&sid=search,2026-04-27 09:31
TMS,sommier,Renovation Europillow,200x200,explicita,0,12,0,1893798,1,SREP200,Conjunto Sommier+colchón Renovation Pillowtop200x200 Premium,https://www.mercadolibre.com.ar/conjunto-sommiercolchon-renovation-pillowtop200x200-premium/up/MLAU3167225246?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=2&type=product&tracking_id=4098c91b-b84c-4f3b-9f05-49e4c5095ecd&wid=MLA1888253408&sid=search,2026-04-27 09:31
TMS,sommier,Doral Pillow,140x190,explicita,2,9,0,1010862,1,SDOP140,Conjunto Sommier Cannon Doral Pillow 140x190 + 2 Alm Velloné,https://www.mercadolibre.com.ar/conjunto-sommier-cannon-doral-pillow-140x190--2-alm-vellone/up/MLAU2976410651?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=3&type=product&tracking_id=4098c91b-b84c-4f3b-9f05-49e4c5095ecd&wid=MLA2001774774&sid=search,2026-04-27 09:31
TMS,sommier,Renovation,100x190,explicita,0,,0,585000,1,SRE100,Conjunto De Sommier Gris + Colchon Renovation 100x190cm,https://www.mercadolibre.com.ar/conjunto-de-sommier-gris--colchon-renovation-100x190cm/up/MLAU942919864?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=4&type=product&tracking_id=4098c91b-b84c-4f3b-9f05-49e4c5095ecd&wid=MLA1448389499&sid=search,2026-04-27 09:31
TMS,sommier,Doral,160x200,explicita,0,18,0,1400596,1,SDO160,Conjunto Sommier+colchón Cannon Doral Queen 160x200 Premium,https://www.mercadolibre.com.ar/conjunto-sommiercolchon-cannon-doral-queen-160x200-premium/up/MLAU3166915170?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=5&type=product&tracking_id=4098c91b-b84c-4f3b-9f05-49e4c5095ecd&wid=MLA2074682386&sid=search,2026-04-27 09:31
TMS,sommier,Doral Pillow,160x200,explicita,0,18,0,1642728,1,SDOP160,Conjunto Sommier Cannon Doral Con Pillow Queen 160x200cm - P,https://www.mercadolibre.com.ar/conjunto-sommier-cannon-doral-con-pillow-queen-160x200cm--p/up/MLAU3166922760?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=6&type=product&tracking_id=4098c91b-b84c-4f3b-9f05-49e4c5095ecd&wid=MLA2074822570&sid=search,2026-04-27 09:31
